cause,zhang_prob,zhang_n_implied,our_prob,our_n,diff,match
"Fuel system, nozzle",0.01960,2,0.01961,2,+0.00001,YES
"Exhaust system, stack",0.00980,1,0.00980,1,+0.00000,YES
"Fuel system, drain",0.01960,2,0.01961,2,+0.00001,YES
"Fuel system, fuel control",0.01960,2,0.01961,2,+0.00001,YES
"Maintenance, service of aircraft/equipment",0.01960,2,0.01961,2,+0.00001,YES
"Miscellaneous, bolt/nut/fastener/clamp/spring",0.00980,1,0.00980,1,+0.00000,YES
"Electrical system, fuse",0.00980,1,0.00980,1,+0.00000,YES
Evacuation,0.00980,1,0.00980,1,+0.00000,YES
"Ignition system, exciter",0.00980,1,0.00980,1,+0.00000,YES
"Aircraft/equipment, inadequate design",0.00980,1,0.00980,1,+0.00000,YES
"Electrical system, circuit breaker",0.01960,2,0.01961,2,+0.00001,YES
"Maintenance, service bulletin/letter",0.02941,3,0.02941,3,+0.00000,YES
"Aircraft/equipment inadequate, aircraft component",0.00980,1,0.00980,1,+0.00000,YES
"Engine accessories, engine starter",0.01960,2,0.01961,2,+0.00001,YES
Condition(s)/step(s) insufficiently defined,0.00980,1,0.00980,1,+0.00000,YES
Panic,0.00980,1,0.00980,1,+0.00000,YES
Unknown quantity,0.01960,2,0.01961,2,+0.00001,YES
Engine compartment,0.02941,3,0.02941,3,+0.00000,YES
Passenger compartment light(s),0.00980,1,0.00980,1,+0.00000,YES
"Aircraft/equipment, inadequate standard/requirement",0.00980,1,0.00980,1,+0.00000,YES
"Fluid, hydraulic",0.00980,1,0.00980,1,+0.00000,YES
Overrun,0.00980,1,0.00980,1,+0.00000,YES
"Anti-ice/deice system, windshield",0.00980,1,0.00980,1,+0.00000,YES
"Inadequate substantiation process, Insufficient review",0.00980,1,0.00980,1,+0.00000,YES
Loss of engine power (total) - mechanical failure/malfunction,0.08823,9,0.08824,9,+0.00001,YES
Landing gear,0.00980,1,0.00980,1,+0.00000,YES
Portable electrical equipment,0.00980,1,0.00980,1,+0.00000,YES
Hazardous material (HAZMAT),0.00980,1,0.00980,1,+0.00000,YES
Miscellaneous/other,0.01960,2,0.01961,2,+0.00001,YES
"Engine assembly, other",0.00980,1,0.00980,1,+0.00000,YES
Smoke detector(s),0.00980,1,0.00980,1,+0.00000,YES
"Fire extinguisher, portable",0.00980,1,0.00980,1,+0.00000,YES
"Ignition system, ignition harness",0.01960,2,0.01961,2,+0.00001,YES
"Maintenance, installation",0.03921,4,0.03922,4,+0.00001,YES
Emergency procedure,0.00980,1,0.00980,1,+0.00000,YES
Airframe/component/system failure/malfunction,0.31372,32,0.31373,32,+0.00001,YES
"Fire warning system, lavatory",0.00980,1,0.00980,1,+0.00000,YES
"Electrical system, generator",0.00980,1,0.00980,1,+0.00000,YES
