ev_id,m1_truth_full_A0,m1_match_pct_A0,m1_hit_A0,m1_recall5_A0,mrr_m1_A0,m1_truth_full_A2,m1_match_pct_A2,m1_hit_A2,m1_recall5_A2,mrr_m1_A2
20080222X00229,Personnel issues-Physical-Alertness/Fatigue-(general)-Flight crew - C,58.1788,0,0,0.0,Personnel issues-Physical-Alertness/Fatigue-(general)-Flight crew - C,58.1788,0,0,0.0
20080506X00598,Personnel issues-Action/decision-Action-Incorrect action performance-Pilot - C | Aircraft-Aircraft power plant-Engine controls-Power lever-Incorrect use/operation - C,51.5754,0,1,0.333333,Personnel issues-Action/decision-Action-Incorrect action performance-Pilot - C | Aircraft-Aircraft power plant-Engine controls-Power lever-Incorrect use/operation - C,51.5754,0,1,0.333333
20080701X00963,Aircraft-Aircraft systems-Oxygen system-Passenger oxygen system-Design - C,39.3526,0,0,0.0,Aircraft-Aircraft systems-Oxygen system-Passenger oxygen system-Design - C,39.3526,0,0,0.0
20080703X00974,Personnel issues-Action/decision-Info processing/decision-Expectation/assumption-Pilot - C,53.044,0,0,0.0,Personnel issues-Action/decision-Info processing/decision-Expectation/assumption-Pilot - C,53.044,0,0,0.0
20080912X01438,Aircraft-Aircraft power plant-Power plant-(general)-Malfunction - C | Environmental issues-Conditions/weather/phenomena-Temp/humidity/pressure-High density altitude-Effect on operation - C,75.3707,1,1,1.0,Aircraft-Aircraft power plant-Power plant-(general)-Malfunction - C | Environmental issues-Conditions/weather/phenomena-Temp/humidity/pressure-High density altitude-Effect on operation - C,75.3774,1,1,1.0
20081027X75039,Personnel issues-Action/decision-Action-Incorrect action performance-Flight crew - C,55.0791,0,1,0.25,Personnel issues-Action/decision-Action-Incorrect action performance-Flight crew - C,55.0339,0,1,0.25
20081116X33137,Aircraft-Aircraft systems-Landing gear system-Gear extension and retract sys-Capability exceeded - C,28.4066,0,0,0.0,Aircraft-Aircraft systems-Landing gear system-Gear extension and retract sys-Capability exceeded - C,28.3799,0,0,0.0
20081201X44308,Aircraft-Aircraft power plant-Engine fuel and control-Fuel oil cooler-Capability exceeded - C | Aircraft-Fluids/misc hardware-Fluids-Fuel-Fluid condition - C,36.9602,0,0,0.0,Aircraft-Aircraft power plant-Engine fuel and control-Fuel oil cooler-Capability exceeded - C | Aircraft-Fluids/misc hardware-Fluids-Fuel-Fluid condition - C,36.9602,0,0,0.0
20081215X14936,Aircraft-Aircraft systems-Electrical power system-DC power distribution system-Malfunction - C,37.2467,0,0,0.0,Aircraft-Aircraft systems-Electrical power system-DC power distribution system-Malfunction - C,37.2467,0,0,0.0
20081216X41655,Aircraft-Aircraft handling/service-Towing and taxiing-Towing-Not specified - C | Environmental issues-Physical environment-Runway/land/takeoff/taxi surfa-Snow/slush/ice covered-Effect on operation - C,58.7223,0,0,0.0,Aircraft-Aircraft handling/service-Towing and taxiing-Towing-Not specified - C | Environmental issues-Physical environment-Runway/land/takeoff/taxi surfa-Snow/slush/ice covered-Effect on operation - C,58.7223,0,0,0.0
20081219X16532,Aircraft-Aircraft systems-Landing gear system-Main landing gear-Failure - C | Aircraft-Aircraft systems-Landing gear system-Main landing gear-Fatigue/wear/corrosion - C,79.8294,1,1,1.0,Aircraft-Aircraft systems-Landing gear system-Main landing gear-Failure - C | Aircraft-Aircraft systems-Landing gear system-Main landing gear-Fatigue/wear/corrosion - C,79.8282,1,1,1.0
20081221X14648,Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Directional control-Not attained/maintained - C | Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Crosswind correction-Not attained/maintained - C | Environmental issues-Conditions/weather/phenomena-Wind-Crosswind-Response/compensation - C | Personnel issues-Action/decision-Action-Incomplete action-Pilot - C,68.2821,0,1,0.2,Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Directional control-Not attained/maintained - C | Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Crosswind correction-Not attained/maintained - C | Environmental issues-Conditions/weather/phenomena-Wind-Crosswind-Response/compensation - C | Personnel issues-Action/decision-Action-Incomplete action-Pilot - C,68.2821,0,1,0.2
20081229X80551,Personnel issues-Action/decision-Action-(general)-Copilot - C,67.8501,0,1,0.333333,Personnel issues-Action/decision-Action-(general)-Copilot - C,67.862,0,1,0.333333
20090223X03403,Personnel issues-Psychological-Attention/monitoring-Monitoring environment-Flight crew - C,59.7252,0,0,0.0,Personnel issues-Psychological-Attention/monitoring-Monitoring environment-Flight crew - C,59.7252,0,0,0.0
20090422X95319,Aircraft-Aircraft handling/service-Parking/securing-(general)-Incorrect use/operation - C | Personnel issues-Psychological-Attention/monitoring-Monitoring equip/instruments-Flight crew - C,58.0599,0,0,0.0,Aircraft-Aircraft handling/service-Parking/securing-(general)-Incorrect use/operation - C | Personnel issues-Psychological-Attention/monitoring-Monitoring equip/instruments-Flight crew - C,58.0599,0,0,0.0
20090505X04553,Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Pitch control-Incorrect use/operation - C | Personnel issues-Task performance-Use of equip/info-Aircraft control-Copilot - C,58.0872,0,0,0.0,Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Pitch control-Incorrect use/operation - C | Personnel issues-Task performance-Use of equip/info-Aircraft control-Copilot - C,58.0473,0,0,0.0
20090730X12915,Aircraft-Aircraft systems-Landing gear system-Main landing gear-Incorrect service/maintenance - C,73.5991,0,1,0.5,Aircraft-Aircraft systems-Landing gear system-Main landing gear-Incorrect service/maintenance - C,73.5991,0,1,0.5
20090805X42956,Environmental issues-Conditions/weather/phenomena-Turbulence-Convective turbulence-Effect on personnel - C,96.6345,1,1,1.0,Environmental issues-Conditions/weather/phenomena-Turbulence-Convective turbulence-Effect on personnel - C,96.6394,1,1,1.0
20090910X53412,Aircraft-Aircraft power plant-Engine fuel and control-Fuel distribution-Damaged/degraded - C,68.8846,0,0,0.0,Aircraft-Aircraft power plant-Engine fuel and control-Fuel distribution-Damaged/degraded - C,68.8846,0,0,0.0
20090910X95942,Aircraft-Aircraft systems-Oxygen system-Oxygen sys wiring-Damaged/degraded - C,32.644,0,0,0.0,Aircraft-Aircraft systems-Oxygen system-Oxygen sys wiring-Damaged/degraded - C,32.6101,0,0,0.0
20090921X05830,Not determined-Not determined-(general)-(general)-Unknown/Not determined - C,32.8575,0,0,0.0,Not determined-Not determined-(general)-(general)-Unknown/Not determined - C,32.8575,0,0,0.0
